frame,xmin,xmax,ymin,ymax,class_id,label_name
final 2_mp4-4018_jpg.rf.YovuLA8VsoFVw8eLTbEc.jpg,300,1009,89,720,3,person
final 2_mp4-8520_jpg.rf.ZzoipY9QRdkiKcrhgBfq.jpg,388,853,162,720,3,person
final 2_mp4-8520_jpg.rf.ZzoipY9QRdkiKcrhgBfq.jpg,717,1057,469,717,1,cell phone
final 2_mp4-5150_jpg.rf.dMHBAMN5tceUz1xnVOrx.jpg,129,795,65,720,3,person
final 2_mp4-5150_jpg.rf.dMHBAMN5tceUz1xnVOrx.jpg,898,1280,66,542,3,person
final 2_mp4-5491_jpg.rf.eSQCJ6luSqsPz3A7yoYy.jpg,432,1005,128,720,3,person
final 2_mp4-7512_jpg.rf.fsuOTkABglwhCg0aS9l2.jpg,435,1000,4,572,3,person
final 2_mp4-5271_jpg.rf.g0AEm56go4HPQl1rfTZG.jpg,44,764,84,720,3,person
final 2_mp4-5271_jpg.rf.g0AEm56go4HPQl1rfTZG.jpg,70,421,453,586,1,cell phone
final 2_mp4-5271_jpg.rf.g0AEm56go4HPQl1rfTZG.jpg,671,1167,7,660,3,person
final 2_mp4-5271_jpg.rf.g0AEm56go4HPQl1rfTZG.jpg,723,1087,373,645,2,laptop
final 2_mp4-2958_jpg.rf.g0KCFRmm7jpu8Hxnxkp3.jpg,90,877,16,720,3,person
final 2_mp4-0781_jpg.rf.isqhDLkxdGXc4zSOexrq.jpg,389,983,27,720,3,person
final 2_mp4-0781_jpg.rf.isqhDLkxdGXc4zSOexrq.jpg,1016,1151,190,472,3,person
final 2_mp4-2116_jpg.rf.jFhn4moLSCko4p0zZG0D.jpg,371,844,215,702,3,person
final 2_mp4-2116_jpg.rf.jFhn4moLSCko4p0zZG0D.jpg,787,1147,19,497,3,person
final 2_mp4-4613_jpg.rf.o3LBY426VcO2PXUj81eq.jpg,170,540,0,523,3,person
final 2_mp4-4613_jpg.rf.o3LBY426VcO2PXUj81eq.jpg,538,991,0,645,3,person
final 2_mp4-2710_jpg.rf.sv3RuzJj5ihmIFvg31xg.jpg,202,413,294,690,1,cell phone
final 2_mp4-2710_jpg.rf.sv3RuzJj5ihmIFvg31xg.jpg,434,1051,8,720,3,person
final 2_mp4-1804_jpg.rf.tZmKwUsZxj1BKsGD8kLz.jpg,191,953,588,691,2,laptop
final 2_mp4-1804_jpg.rf.tZmKwUsZxj1BKsGD8kLz.jpg,411,886,232,720,3,person
frame_5790_jpg.rf.vk9MmAvMM5zeKN95LtqG.jpg,238,481,154,639,3,person
frame_5790_jpg.rf.vk9MmAvMM5zeKN95LtqG.jpg,322,451,442,639,1,cell phone
final 2_mp4-2788_jpg.rf.xUrNheZlJUPZX5XusJaA.jpg,346,1063,8,720,3,person
frame_3470_jpg.rf.xaHiqwtss7RveeLoKocj.jpg,96,535,143,639,3,person
frame_3470_jpg.rf.xaHiqwtss7RveeLoKocj.jpg,285,458,169,484,1,cell phone
frame_5650_jpg.rf.yGivIC55SeHx6MBjpYRQ.jpg,75,462,275,640,2,laptop
final 2_mp4-0055_jpg.rf.zBLxoWfVgW7Nj2eN1yx7.jpg,787,950,353,507,1,cell phone
final 2_mp4-0055_jpg.rf.zBLxoWfVgW7Nj2eN1yx7.jpg,1050,1122,226,373,3,person
final 2_mp4-0055_jpg.rf.zBLxoWfVgW7Nj2eN1yx7.jpg,417,949,6,698,3,person
